,Input dims,Input size (>95% mem util)*,"Sparsities (input, matA, matB)",GPU clock time
74,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.9 ; 0,0.00034563465975224973
75,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.9 ; 0.5,0.008119470812380314
76,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.9 ; 0.5,0.0008441707119345665
77,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.9 ; 0.5,0.00036094794794917106
78,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.9 ; 0.9,0.008011743612587451
79,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.9 ; 0.9,0.0008438530191779137
80,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.9 ; 0.9,0.00034631070494651794
81,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.9 ; 0.99,0.008011975139379502
82,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.9 ; 0.99,0.0008444811962544918
83,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.9 ; 0.99,0.00034364461712539196
84,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.99 ; 0,0.008187162317335605
85,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.99 ; 0,0.0008439934812486172
86,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.99 ; 0,0.0003641852419823408
87,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.99 ; 0.5,0.008111297339200973
88,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.99 ; 0.5,0.0008443287201225758
89,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.99 ; 0.5,0.0003470179866999388
90,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.99 ; 0.9,0.008014851622283459
91,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.99 ; 0.9,0.0008449265547096729
92,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.99 ; 0.9,0.00036082746088504793
93,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.99 ; 0.99,0.008003910817205907
94,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.99 ; 0.99,0.0008436752669513226
95,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.99 ; 0.99,0.0003463825900107622
96,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0 ; 0,0.008655857853591442
97,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0 ; 0,0.0008446978218853474
98,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0 ; 0,0.00034677470847964284
99,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0 ; 0.5,0.008582783117890357
100,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0 ; 0.5,0.0008444974385201931
101,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0 ; 0.5,0.0003434416968375444
102,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0 ; 0.9,0.008272590301930904
103,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0 ; 0.9,0.0008440218679606914
104,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0 ; 0.9,0.0003415008243173361
105,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0 ; 0.99,0.008168071694672107
106,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0 ; 0.99,0.0008447004109621048
107,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0 ; 0.99,0.0003468869384378195
108,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.5 ; 0,0.008580287359654904
109,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.5 ; 0,0.0008448402769863605
110,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.5 ; 0,0.00034451729245483874
111,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.5 ; 0.5,0.008518669195473194
112,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.5 ; 0.5,0.0008436166867613793
113,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.5 ; 0.5,0.0003463090807199478
114,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.5 ; 0.9,0.008158813044428826
115,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.5 ; 0.9,0.0008447190746665
116,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.5 ; 0.9,0.0003466359376907349
117,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.5 ; 0.99,0.008060177974402904
118,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.5 ; 0.99,0.0008440996706485748
119,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.5 ; 0.99,0.0003639085255563259
120,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.9 ; 0,0.008284691162407399
121,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.9 ; 0,0.0008443655073642731
122,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.9 ; 0,0.00034586412832140925
123,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.9 ; 0.5,0.008239244297146796
124,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.9 ; 0.5,0.000844246968626976
125,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.9 ; 0.5,0.0003608256559818983
126,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.9 ; 0.9,0.008007472567260265
127,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.9 ; 0.9,0.0008437501452863216
128,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.9 ; 0.9,0.0003462648056447506
129,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.9 ; 0.99,0.008006828464567661
130,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.9 ; 0.99,0.0008447141759097576
131,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.9 ; 0.99,0.00034672207571566105
132,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.99 ; 0,0.008177893795073032
133,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.99 ; 0,0.0008441871590912343
134,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.99 ; 0,0.0003641359079629183
135,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.99 ; 0.5,0.008075106143951415
136,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.99 ; 0.5,0.0008443944342434406
137,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.99 ; 0.5,0.00034174119494855405
138,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.99 ; 0.9,0.008006207272410392
139,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.99 ; 0.9,0.0008440735563635826
140,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.99 ; 0.9,0.00036401695013046263
141,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.9 ; 0.99 ; 0.99,0.00799922700971365
142,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.9 ; 0.99 ; 0.99,0.0008443173952400685
143,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.9 ; 0.99 ; 0.99,0.00034618759714066984
144,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0 ; 0,0.008674229495227337
