,Input dims,Input size (>95% mem util)*,"Sparsities (input, matA, matB)",GPU clock time
140,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.99 ; 0.9,0.013268110156059266
141,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.99 ; 0.99,2.0179968271404505
142,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.99 ; 0.99,0.05103609208017588
143,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.99 ; 0.99,0.013268615119159222
144,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0 ; 0,2.0191114749759436
145,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0 ; 0,0.051041779294610026
146,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0 ; 0,0.014665181376039981
147,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0 ; 0.5,2.0180431362241507
148,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0 ; 0.5,0.05103455279022455
149,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0 ; 0.5,0.014669736847281456
150,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0 ; 0.9,2.0183560140430927
151,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0 ; 0.9,0.05103581212460995
152,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0 ; 0.9,0.014665558654814958
153,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0 ; 0.99,2.017703687772155
154,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0 ; 0.99,0.05104587599635124
155,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0 ; 0.99,0.014668768551200629
156,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.5 ; 0,2.0191419012844563
157,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.5 ; 0,0.05103731695562601
158,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.5 ; 0,0.013267009053379297
159,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.5 ; 0.5,2.017770605161786
160,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.5 ; 0.5,0.0510364843532443
161,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.5 ; 0.5,0.013267433922737836
162,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.5 ; 0.9,2.017741709947586
163,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.5 ; 0.9,0.05103707425296307
164,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.5 ; 0.9,0.01327077066525817
165,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.5 ; 0.99,2.017701031640172
166,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.5 ; 0.99,0.0510349964722991
167,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.5 ; 0.99,0.01326944911852479
168,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.9 ; 0,2.0182910040020943
169,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.9 ; 0,0.0510359151288867
170,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.9 ; 0,0.013335418421775103
171,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.9 ; 0.5,2.017321338877082
172,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.9 ; 0.5,0.05104305949062109
173,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.9 ; 0.5,0.013267624378204345
174,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.9 ; 0.9,2.0179713405668736
175,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.9 ; 0.9,0.0510346919298172
176,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.9 ; 0.9,0.013267979957163334
177,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.9 ; 0.99,2.0176057275384665
178,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.9 ; 0.99,0.05103620775043964
179,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.9 ; 0.99,0.01326790787279606
180,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.99 ; 0,2.0188479963690042
181,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.99 ; 0,0.051034306176006794
182,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.99 ; 0,0.013280281145125628
183,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.99 ; 0.5,2.017794953659177
184,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.99 ; 0.5,0.051037540286779405
185,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.99 ; 0.5,0.013270619791001081
186,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.99 ; 0.9,2.0181648209691048
187,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.99 ; 0.9,0.05103743933141232
188,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.99 ; 0.9,0.013269782718271016
189,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.99 ; 0.99 ; 0.99,2.0181333906948566
190,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.99 ; 0.99 ; 0.99,0.0510368749499321
191,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.99 ; 0.99 ; 0.99,0.013267614226788283
