,Input dims,Input size,"Sparsities (matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
16,2,"[(3123, 3123), (3123, 3123)]",0.995 ; 0.995,19506258,78.025032,44.040192,0.0008444660797249525 (0.0)
17,2,"[(3200, 3200), (3200, 3200)]",0.995 ; 0.995,20480000,81.92,46.137344,0.0007890285993926227 (0.0)
18,2,"[(3275, 3275), (3275, 3275)]",0.995 ; 0.995,21451250,85.805,48.234496,0.0009105630905833095 (0.0)
19,2,"[(3348, 3348), (3348, 3348)]",0.995 ; 0.995,22418208,89.672832,48.234496,0.0011001746193505823 (0.0)
20,2,"[(3420, 3420), (3420, 3420)]",0.995 ; 0.995,23392800,93.5712,50.331648,0.0008596782898530364 (0.0)
21,2,"[(3490, 3490), (3490, 3490)]",0.995 ; 0.995,24360200,97.4408,52.4288,0.0008329717104788869 (0.0)
22,2,"[(3559, 3559), (3559, 3559)]",0.995 ; 0.995,25332962,101.331848,54.525952,0.000990443699993193 (0.0)
23,2,"[(3626, 3626), (3626, 3626)]",0.995 ; 0.995,26295752,105.183008,73.40032,0.0008895224903244525 (0.0)
24,2,"[(3692, 3692), (3692, 3692)]",0.995 ; 0.995,27261728,109.046912,50.331648,0.0010397881094831973 (0.0)
25,2,"[(3757, 3757), (3757, 3757)]",0.995 ; 0.995,28230098,112.920392,52.4288,0.0009636058798059822 (0.0)
26,2,"[(3821, 3821), (3821, 3821)]",0.995 ; 0.995,29200082,116.800328,54.525952,0.0010247769905254245 (0.0)
27,2,"[(3884, 3884), (3884, 3884)]",0.995 ; 0.995,30170912,120.683648,56.623104,0.0011042225791607053 (0.0)
28,2,"[(3946, 3946), (3946, 3946)]",0.995 ; 0.995,31141832,124.567328,58.720256,0.0011529000103473663 (0.0)
29,2,"[(4007, 4007), (4007, 4007)]",0.995 ; 0.995,32112098,128.448392,81.788928,0.0010561637103091925 (0.0)
30,2,"[(4067, 4067), (4067, 4067)]",0.995 ; 0.995,33080978,132.323912,83.88608,0.0011176935001276434 (0.0)
31,2,"[(4126, 4126), (4126, 4126)]",0.995 ; 0.995,34047752,136.191008,67.108864,0.0011018322897143663 (0.0)
32,2,"[(4185, 4185), (4185, 4185)]",0.995 ; 0.995,35028450,140.1138,67.108864,0.0010385889699682594 (0.0)
33,2,"[(4242, 4242), (4242, 4242)]",0.995 ; 0.995,35989128,143.956512,90.177536,0.0010784996696747838 (0.0)
34,2,"[(4299, 4299), (4299, 4299)]",0.995 ; 0.995,36962802,147.851208,96.468992,0.001423192700603977 (0.0)
35,2,"[(4355, 4355), (4355, 4355)]",0.995 ; 0.995,37932050,151.7282,100.663296,0.0015479982597753406 (0.0)
36,2,"[(4410, 4410), (4410, 4410)]",0.995 ; 0.995,38896200,155.5848,102.760448,0.0016670406598132104 (0.0)
37,2,"[(4465, 4465), (4465, 4465)]",0.995 ; 0.995,39872450,159.4898,104.8576,0.0017336574697401374 (0.0)
38,2,"[(4519, 4519), (4519, 4519)]",0.995 ; 0.995,40842722,163.370888,100.663296,0.001183651479659602 (0.0)
39,2,"[(4572, 4572), (4572, 4572)]",0.995 ; 0.995,41806368,167.225472,102.760448,0.0014676087198313326 (0.0)
40,2,"[(4625, 4625), (4625, 4625)]",0.995 ; 0.995,42781250,171.125,109.051904,0.001280223790090531 (0.0)
41,2,"[(4677, 4677), (4677, 4677)]",0.995 ; 0.995,43748658,174.994632,109.051904,0.0012786948995199055 (0.0)
42,2,"[(4729, 4729), (4729, 4729)]",0.995 ; 0.995,44726882,178.907528,113.246208,0.0013166899094358086 (0.0)
43,2,"[(4780, 4780), (4780, 4780)]",0.995 ; 0.995,45696800,182.7872,115.34336,0.0013261264201719315 (0.0)
