,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
315,2 square 1,"(1082, 1082)",0,2341448,11.70724,23.068672,0.00022645208984613417(0.0)
316,2 square 0,"(1091, 1091)",0,2380562,11.90281,23.068672,0.0002434772509150207(0.0)
317,2 square 1,"(1091, 1091)",0,2380562,11.90281,23.068672,0.00022817743942141533(0.0)
318,2 square 0,"(1100, 1100)",0,2420000,12.1,23.068672,0.0002468125498853624(0.0)
319,2 square 1,"(1100, 1100)",0,2420000,12.1,23.068672,0.00023004937916994096(0.0)
320,2 square 0,"(1109, 1109)",0,2459762,12.29881,23.068672,0.0002438553492538631(0.0)
321,2 square 1,"(1109, 1109)",0,2459762,12.29881,23.068672,0.00023299274034798144(0.0)
322,2 square 0,"(1118, 1118)",0,2499848,12.49924,23.068672,0.00024777666898444294(0.0)
323,2 square 1,"(1118, 1118)",0,2499848,12.49924,23.068672,0.0002476402092725039(0.0)
324,2 square 0,"(1127, 1127)",0,2540258,12.70129,23.068672,0.00025150822009891273(0.0)
325,2 square 1,"(1127, 1127)",0,2540258,12.70129,23.068672,0.00023718596901744604(0.0)
326,2 square 0,"(1136, 1136)",0,2580992,12.90496,23.068672,0.00025698908139020203(0.0)
327,2 square 1,"(1136, 1136)",0,2580992,12.90496,23.068672,0.00024056765018031(0.0)
328,2 square 0,"(1144, 1144)",0,2617472,13.08736,23.068672,0.00025375706842169167(0.0)
329,2 square 1,"(1144, 1144)",0,2617472,13.08736,23.068672,0.00024111659033223987(0.0)
330,2 square 0,"(1153, 1153)",0,2658818,13.29409,23.068672,0.0002606771397404373(0.0)
331,2 square 1,"(1153, 1153)",0,2658818,13.29409,23.068672,0.00024248116882517933(0.0)
332,2 square 0,"(1161, 1161)",0,2695842,13.47921,23.068672,0.0002574901306070387(0.0)
333,2 square 1,"(1161, 1161)",0,2695842,13.47921,23.068672,0.00024855615105479957(0.0)
334,2 square 0,"(1170, 1170)",0,2737800,13.689,23.068672,0.00026093873893842103(0.0)
335,2 square 1,"(1170, 1170)",0,2737800,13.689,23.068672,0.00024874971015378835(0.0)
336,2 square 0,"(1178, 1178)",0,2775368,13.87684,23.068672,0.00026153415907174347(0.0)
337,2 square 1,"(1178, 1178)",0,2775368,13.87684,23.068672,0.0002543246396817267(0.0)
338,2 square 0,"(1187, 1187)",0,2817938,14.08969,44.040192,0.0002635563793592155(0.0)
339,2 square 1,"(1187, 1187)",0,2817938,14.08969,44.040192,0.00025574351893737913(0.0)
340,2 square 0,"(1195, 1195)",0,2856050,14.28025,44.040192,0.00026418616995215415(0.0)
341,2 square 1,"(1195, 1195)",0,2856050,14.28025,44.040192,0.00025727621978148817(0.0)
342,2 square 0,"(1203, 1203)",0,2894418,14.47209,44.040192,0.00027300965040922165(0.0)
343,2 square 1,"(1203, 1203)",0,2894418,14.47209,44.040192,0.000265455967746675(0.0)
344,2 square 0,"(1211, 1211)",0,2933042,14.66521,44.040192,0.000268353340215981(0.0)
345,2 square 1,"(1211, 1211)",0,2933042,14.66521,44.040192,0.0002650223509408534(0.0)
346,2 square 0,"(1219, 1219)",0,2971922,14.85961,44.040192,0.0002720933081582189(0.0)
347,2 square 1,"(1219, 1219)",0,2971922,14.85961,44.040192,0.000266153288539499(0.0)
348,2 square 0,"(1227, 1227)",0,3011058,15.05529,44.040192,0.00027500061085447666(0.0)
349,2 square 1,"(1227, 1227)",0,3011058,15.05529,44.040192,0.0002681780094280839(0.0)
350,2 square 0,"(1235, 1235)",0,3050450,15.25225,44.040192,0.0002752547897398472(0.0)
351,2 square 1,"(1235, 1235)",0,3050450,15.25225,44.040192,0.00027250700164586304(0.0)
352,2 square 0,"(1243, 1243)",0,3090098,15.45049,44.040192,0.00028092340100556614(0.0)
353,2 square 1,"(1243, 1243)",0,3090098,15.45049,44.040192,0.00027619946980848907(0.0)
354,2 square 0,"(1251, 1251)",0,3130002,15.65001,44.040192,0.0002828960190527141(0.0)
355,2 square 1,"(1251, 1251)",0,3130002,15.65001,44.040192,0.00027766403974965214(0.0)
356,2 square 0,"(1259, 1259)",0,3170162,15.85081,44.040192,0.00028144296957179906(0.0)
357,2 square 1,"(1259, 1259)",0,3170162,15.85081,44.040192,0.00027794786961749196(0.0)
358,2 square 0,"(1267, 1267)",0,3210578,16.05289,44.040192,0.00028431990882381796(0.0)
359,2 square 1,"(1267, 1267)",0,3210578,16.05289,44.040192,0.00028197117149829864(0.0)
360,2 square 0,"(1275, 1275)",0,3251250,16.25625,44.040192,0.00028586934087798(0.0)
361,2 square 1,"(1275, 1275)",0,3251250,16.25625,44.040192,0.00028419468086212876(0.0)
362,2 square 0,"(1282, 1282)",0,3287048,16.43524,44.040192,0.0002888583904132247(0.0)
363,2 square 1,"(1282, 1282)",0,3287048,16.43524,44.040192,0.00029602824011817577(0.0)
364,2 square 0,"(1290, 1290)",0,3328200,16.641,44.040192,0.0002922421810217202(0.0)
365,2 square 1,"(1290, 1290)",0,3328200,16.641,44.040192,0.00029206875013187527(0.0)
366,2 square 0,"(1298, 1298)",0,3369608,16.84804,44.040192,0.00029014159925282(0.0)
367,2 square 1,"(1298, 1298)",0,3369608,16.84804,44.040192,0.00029385983943939207(0.0)
368,2 square 0,"(1305, 1305)",0,3406050,17.03025,44.040192,0.00029259664937853814(0.0)
369,2 square 1,"(1305, 1305)",0,3406050,17.03025,44.040192,0.00029398727929219604(0.0)
370,2 square 0,"(1313, 1313)",0,3447938,17.23969,44.040192,0.00030004031956195834(0.0)
371,2 square 1,"(1313, 1313)",0,3447938,17.23969,44.040192,0.00029988602036610244(0.0)
372,2 square 0,"(1320, 1320)",0,3484800,17.424,44.040192,0.0003001599293202162(0.0)
373,2 square 1,"(1320, 1320)",0,3484800,17.424,44.040192,0.00030145779019221666(0.0)
374,2 square 0,"(1328, 1328)",0,3527168,17.63584,44.040192,0.0002994405780918896(0.0)
375,2 square 1,"(1328, 1328)",0,3527168,17.63584,44.040192,0.0003070394298993051(0.0)
376,2 square 0,"(1335, 1335)",0,3564450,17.82225,44.040192,0.00030633060028776524(0.0)
377,2 square 1,"(1335, 1335)",0,3564450,17.82225,44.040192,0.0003095205221325159(0.0)
378,2 square 0,"(1342, 1342)",0,3601928,18.00964,44.040192,0.00030850229784846306(0.0)
379,2 square 1,"(1342, 1342)",0,3601928,18.00964,44.040192,0.0003104798379354179(0.0)
380,2 square 0,"(1350, 1350)",0,3645000,18.225,44.040192,0.00030622188933193684(0.0)
381,2 square 1,"(1350, 1350)",0,3645000,18.225,44.040192,0.00031179500976577404(0.0)
382,2 square 0,"(1357, 1357)",0,3682898,18.41449,44.040192,0.0003115885308943689(0.0)
383,2 square 1,"(1357, 1357)",0,3682898,18.41449,44.040192,0.00031923247035592795(0.0)
384,2 square 0,"(1364, 1364)",0,3720992,18.60496,44.040192,0.0003125708899460733(0.0)
385,2 square 1,"(1364, 1364)",0,3720992,18.60496,44.040192,0.0003197594708763063(0.0)
386,2 square 0,"(1371, 1371)",0,3759282,18.79641,44.040192,0.00031664869049564004(0.0)
387,2 square 1,"(1371, 1371)",0,3759282,18.79641,44.040192,0.0003231044905260205(0.0)
388,2 square 0,"(1378, 1378)",0,3797768,18.98884,44.040192,0.00031493514776229856(0.0)
389,2 square 1,"(1378, 1378)",0,3797768,18.98884,44.040192,0.0003251221007667482(0.0)
390,2 square 0,"(1386, 1386)",0,3841992,19.20996,44.040192,0.00032260994892567395(0.0)
391,2 square 1,"(1386, 1386)",0,3841992,19.20996,44.040192,0.0003307758807204664(0.0)
392,2 square 0,"(1393, 1393)",0,3880898,19.40449,44.040192,0.000322344359010458(0.0)
393,2 square 1,"(1393, 1393)",0,3880898,19.40449,44.040192,0.0003321385500021279(0.0)
394,2 square 0,"(1400, 1400)",0,3920000,19.6,44.040192,0.0003232239093631506(0.0)
395,2 square 1,"(1400, 1400)",0,3920000,19.6,44.040192,0.0003344876901246607(0.0)
396,2 square 0,"(1407, 1407)",0,3959298,19.79649,44.040192,0.00032577442936599255(0.0)
397,2 square 1,"(1407, 1407)",0,3959298,19.79649,44.040192,0.00033835569862276314(0.0)
398,2 square 0,"(1414, 1414)",0,3998792,19.99396,44.040192,0.0003295188001357019(0.0)
399,2 square 1,"(1414, 1414)",0,3998792,19.99396,44.040192,0.0003425563289783895(0.0)
400,4 square 0,"(223, 223)",0,99458,0.49729,2.097152,0.00010888088960200548(0.0)
401,4 square 1,"(223, 223)",0,99458,0.49729,2.097152,9.135237894952297e-05(0.0)
402,4 square 0,"(264, 264)",0,139392,0.69696,2.097152,9.253621101379395e-05(0.0)
403,4 square 1,"(264, 264)",0,139392,0.69696,2.097152,9.074523113667965e-05(0.0)
404,4 square 0,"(298, 298)",0,177608,0.88804,2.097152,0.00011058731935918331(0.0)
405,4 square 1,"(298, 298)",0,177608,0.88804,2.097152,9.758385131135583e-05(0.0)
406,4 square 0,"(330, 330)",0,217800,1.089,2.097152,0.00010536504909396172(0.0)
407,4 square 1,"(330, 330)",0,217800,1.089,2.097152,9.894181974232197e-05(0.0)
408,4 square 0,"(358, 358)",0,256328,1.28164,2.097152,0.0001344615197740495(0.0)
409,4 square 1,"(358, 358)",0,256328,1.28164,2.097152,0.0001057021808810532(0.0)
410,4 square 0,"(385, 385)",0,296450,1.48225,23.068672,0.00013358886819332837(0.0)
411,4 square 1,"(385, 385)",0,296450,1.48225,23.068672,9.574597934260964e-05(0.0)
412,4 square 0,"(410, 410)",0,336200,1.681,23.068672,0.00016057814937084914(0.0)
413,4 square 1,"(410, 410)",0,336200,1.681,23.068672,0.00011106542078778147(0.0)
414,4 square 0,"(433, 433)",0,374978,1.87489,23.068672,0.0001605547103099525(0.0)
415,4 square 1,"(433, 433)",0,374978,1.87489,23.068672,0.00010827333899214864(0.0)
416,4 square 0,"(455, 455)",0,414050,2.07025,23.068672,0.0001510073710232973(0.0)
417,4 square 1,"(455, 455)",0,414050,2.07025,23.068672,0.0001107390015386045(0.0)
418,4 square 0,"(476, 476)",0,453152,2.26576,23.068672,0.0001820725598372519(0.0)
419,4 square 1,"(476, 476)",0,453152,2.26576,23.068672,0.000124258641153574(0.0)
420,4 square 0,"(496, 496)",0,492032,2.46016,23.068672,0.00018639363115653397(0.0)
421,4 square 1,"(496, 496)",0,492032,2.46016,23.068672,0.00012753423070535063(0.0)
422,4 square 0,"(516, 516)",0,532512,2.66256,23.068672,0.0001690992503426969(0.0)
423,4 square 1,"(516, 516)",0,532512,2.66256,23.068672,0.00012029815930873155(0.0)
424,4 square 0,"(535, 535)",0,572450,2.86225,23.068672,0.00020193197997286916(0.0)
425,4 square 1,"(535, 535)",0,572450,2.86225,23.068672,0.0001256434596143663(0.0)
426,4 square 0,"(553, 553)",0,611618,3.05809,23.068672,0.00019915503915399313(0.0)
427,4 square 1,"(553, 553)",0,611618,3.05809,23.068672,0.00012896714033558965(0.0)
428,4 square 0,"(570, 570)",0,649800,3.249,23.068672,0.00019229708006605507(0.0)
429,4 square 1,"(570, 570)",0,649800,3.249,23.068672,0.00012841520132496952(0.0)
430,4 square 0,"(587, 587)",0,689138,3.44569,23.068672,0.00020559410098940133(0.0)
