,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
381,2 square 1,"(1350, 1350)",0,3645000,18.225,44.040192,0.0003808568511158228(0.0)
382,2 square 0,"(1357, 1357)",0,3682898,18.41449,44.040192,0.0004915264109149575(0.0)
383,2 square 1,"(1357, 1357)",0,3682898,18.41449,44.040192,0.0003837668802589178(0.0)
384,2 square 0,"(1364, 1364)",0,3720992,18.60496,44.040192,0.0004923082003369928(0.0)
385,2 square 1,"(1364, 1364)",0,3720992,18.60496,44.040192,0.0003831041185185313(0.0)
386,2 square 0,"(1371, 1371)",0,3759282,18.79641,44.040192,0.0004906175890937448(0.0)
387,2 square 1,"(1371, 1371)",0,3759282,18.79641,44.040192,0.0003879026393406093(0.0)
388,2 square 0,"(1378, 1378)",0,3797768,18.98884,44.040192,0.0004906338010914623(0.0)
389,2 square 1,"(1378, 1378)",0,3797768,18.98884,44.040192,0.0003923408593982458(0.0)
390,2 square 0,"(1386, 1386)",0,3841992,19.20996,44.040192,0.0004932387499138712(0.0)
391,2 square 1,"(1386, 1386)",0,3841992,19.20996,44.040192,0.0003974026907235384(0.0)
392,2 square 0,"(1393, 1393)",0,3880898,19.40449,44.040192,0.000496337239164859(0.0)
393,2 square 1,"(1393, 1393)",0,3880898,19.40449,44.040192,0.0003979441220872104(0.0)
394,2 square 0,"(1400, 1400)",0,3920000,19.6,44.040192,0.0004948502080515027(0.0)
395,2 square 1,"(1400, 1400)",0,3920000,19.6,44.040192,0.00040121512953192(0.0)
396,2 square 0,"(1407, 1407)",0,3959298,19.79649,44.040192,0.0004990925802849233(0.0)
397,2 square 1,"(1407, 1407)",0,3959298,19.79649,44.040192,0.00040848064003512263(0.0)
398,2 square 0,"(1414, 1414)",0,3998792,19.99396,44.040192,0.0004984104703180492(0.0)
399,2 square 1,"(1414, 1414)",0,3998792,19.99396,44.040192,0.00040513909189030526(0.0)
400,4 square 0,"(223, 223)",0,99458,0.49729,2.097152,0.0002342725987546146(0.0)
401,4 square 1,"(223, 223)",0,99458,0.49729,2.097152,0.0001326783886179328(0.0)
402,4 square 0,"(264, 264)",0,139392,0.69696,2.097152,0.0002335595479235053(0.0)
403,4 square 1,"(264, 264)",0,139392,0.69696,2.097152,0.0001319041312672198(0.0)
404,4 square 0,"(298, 298)",0,177608,0.88804,2.097152,0.0002702109096571803(0.0)
405,4 square 1,"(298, 298)",0,177608,0.88804,2.097152,0.00014160885941237212(0.0)
406,4 square 0,"(330, 330)",0,217800,1.089,2.097152,0.00026055003982037304(0.0)
407,4 square 1,"(330, 330)",0,217800,1.089,2.097152,0.00014189400942996144(0.0)
408,4 square 0,"(358, 358)",0,256328,1.28164,2.097152,0.0002689889911562204(0.0)
409,4 square 1,"(358, 358)",0,256328,1.28164,2.097152,0.0001414386392571032(0.0)
410,4 square 0,"(385, 385)",0,296450,1.48225,23.068672,0.00026263901963829994(0.0)
411,4 square 1,"(385, 385)",0,296450,1.48225,23.068672,0.00013645496917888522(0.0)
412,4 square 0,"(410, 410)",0,336200,1.681,23.068672,0.00031151671893894675(0.0)
413,4 square 1,"(410, 410)",0,336200,1.681,23.068672,0.0001367982290685177(0.0)
414,4 square 0,"(433, 433)",0,374978,1.87489,23.068672,0.0002992912894114852(0.0)
415,4 square 1,"(433, 433)",0,374978,1.87489,23.068672,0.0001382413599640131(0.0)
416,4 square 0,"(455, 455)",0,414050,2.07025,23.068672,0.00027278290130198(0.0)
417,4 square 1,"(455, 455)",0,414050,2.07025,23.068672,0.0001366361090913415(0.0)
418,4 square 0,"(476, 476)",0,453152,2.26576,23.068672,0.0003128589689731598(0.0)
419,4 square 1,"(476, 476)",0,453152,2.26576,23.068672,0.00014323225012049078(0.0)
420,4 square 0,"(496, 496)",0,492032,2.46016,23.068672,0.0003437393694184721(0.0)
421,4 square 1,"(496, 496)",0,492032,2.46016,23.068672,0.00015090072993189095(0.0)
422,4 square 0,"(516, 516)",0,532512,2.66256,23.068672,0.00030137643916532396(0.0)
423,4 square 1,"(516, 516)",0,532512,2.66256,23.068672,0.0001438160613179207(0.0)
424,4 square 0,"(535, 535)",0,572450,2.86225,23.068672,0.0003325815591961145(0.0)
425,4 square 1,"(535, 535)",0,572450,2.86225,23.068672,0.00015301032923161983(0.0)
426,4 square 0,"(553, 553)",0,611618,3.05809,23.068672,0.00035271300934255125(0.0)
427,4 square 1,"(553, 553)",0,611618,3.05809,23.068672,0.00016664945986121892(0.0)
428,4 square 0,"(570, 570)",0,649800,3.249,23.068672,0.0003371811006218195(0.0)
429,4 square 1,"(570, 570)",0,649800,3.249,23.068672,0.00016043122857809067(0.0)
430,4 square 0,"(587, 587)",0,689138,3.44569,23.068672,0.00033165639033541086(0.0)
431,4 square 1,"(587, 587)",0,689138,3.44569,23.068672,0.000166649860329926(0.0)
432,4 square 0,"(604, 604)",0,729632,3.64816,23.068672,0.00033375206869095563(0.0)
433,4 square 1,"(604, 604)",0,729632,3.64816,23.068672,0.00041173990815877913(0.0)
434,4 square 0,"(620, 620)",0,768800,3.844,23.068672,0.0005697688786312938(0.0)
435,4 square 1,"(620, 620)",0,768800,3.844,23.068672,0.0003164760395884514(0.0)
436,4 square 0,"(636, 636)",0,808992,4.04496,25.165824,0.0006270304182544351(0.0)
437,4 square 1,"(636, 636)",0,808992,4.04496,25.165824,0.00040510058868676425(0.0)
438,4 square 0,"(651, 651)",0,847602,4.23801,25.165824,0.0003492528316564858(0.0)
439,4 square 1,"(651, 651)",0,847602,4.23801,25.165824,0.00017383913043886423(0.0)
440,4 square 0,"(666, 666)",0,887112,4.43556,25.165824,0.0003601218992844224(0.0)
441,4 square 1,"(666, 666)",0,887112,4.43556,25.165824,0.000179016359616071(0.0)
442,4 square 0,"(680, 680)",0,924800,4.624,25.165824,0.0003577129100449383(0.0)
443,4 square 1,"(680, 680)",0,924800,4.624,25.165824,0.0001788462302647531(0.0)
444,4 square 0,"(695, 695)",0,966050,4.83025,25.165824,0.0003885764814913273(0.0)
445,4 square 1,"(695, 695)",0,966050,4.83025,25.165824,0.00018481106963008642(0.0)
446,4 square 0,"(709, 709)",0,1005362,5.02681,25.165824,0.00038476352114230394(0.0)
447,4 square 1,"(709, 709)",0,1005362,5.02681,25.165824,0.0001889322092756629(0.0)
448,4 square 0,"(722, 722)",0,1042568,5.21284,25.165824,0.00038911409908905627(0.0)
449,4 square 1,"(722, 722)",0,1042568,5.21284,25.165824,0.00019283090950921177(0.0)
450,4 square 0,"(736, 736)",0,1083392,5.41696,23.068672,0.00036372352857142685(0.0)
451,4 square 1,"(736, 736)",0,1083392,5.41696,23.068672,0.00018496205797418952(0.0)
452,4 square 0,"(749, 749)",0,1122002,5.61001,23.068672,0.00038881753105670215(0.0)
453,4 square 1,"(749, 749)",0,1122002,5.61001,23.068672,0.0001993295596912503(0.0)
454,4 square 0,"(762, 762)",0,1161288,5.80644,23.068672,0.0004021853418089449(0.0)
455,4 square 1,"(762, 762)",0,1161288,5.80644,23.068672,0.00019378833938390016(0.0)
456,4 square 0,"(775, 775)",0,1201250,6.00625,23.068672,0.00040328313130885365(0.0)
457,4 square 1,"(775, 775)",0,1201250,6.00625,23.068672,0.00019875667989253997(0.0)
458,4 square 0,"(788, 788)",0,1241888,6.20944,23.068672,0.00041069792117923496(0.0)
459,4 square 1,"(788, 788)",0,1241888,6.20944,23.068672,0.00019922978011891246(0.0)
460,4 square 0,"(800, 800)",0,1280000,6.4,23.068672,0.00041569520020857454(0.0)
461,4 square 1,"(800, 800)",0,1280000,6.4,23.068672,0.00020459947874769567(0.0)
462,4 square 0,"(812, 812)",0,1318688,6.59344,23.068672,0.0004209703300148249(0.0)
463,4 square 1,"(812, 812)",0,1318688,6.59344,23.068672,0.00020974064944311976(0.0)
464,4 square 0,"(824, 824)",0,1357952,6.78976,23.068672,0.00043741978937759994(0.0)
465,4 square 1,"(824, 824)",0,1357952,6.78976,23.068672,0.00020950990030542017(0.0)
466,4 square 0,"(836, 836)",0,1397792,6.98896,23.068672,0.0004538759682327509(0.0)
467,4 square 1,"(836, 836)",0,1397792,6.98896,23.068672,0.00021936455043032764(0.0)
468,4 square 0,"(848, 848)",0,1438208,7.19104,23.068672,0.0004515372309833765(0.0)
469,4 square 1,"(848, 848)",0,1438208,7.19104,23.068672,0.0002228891383856535(0.0)
470,4 square 0,"(859, 859)",0,1475762,7.37881,23.068672,0.0004431684082373977(0.0)
471,4 square 1,"(859, 859)",0,1475762,7.37881,23.068672,0.00021924691973254084(0.0)
472,4 square 0,"(871, 871)",0,1517282,7.58641,23.068672,0.0004409060184843838(0.0)
473,4 square 1,"(871, 871)",0,1517282,7.58641,23.068672,0.00022420583991333842(0.0)
474,4 square 0,"(882, 882)",0,1555848,7.77924,23.068672,0.00043555635027587414(0.0)
475,4 square 1,"(882, 882)",0,1555848,7.77924,23.068672,0.00022131254198029637(0.0)
476,4 square 0,"(893, 893)",0,1594898,7.97449,23.068672,0.0004562641098164022(0.0)
477,4 square 1,"(893, 893)",0,1594898,7.97449,23.068672,0.0002282907092012465(0.0)
478,4 square 0,"(904, 904)",0,1634432,8.17216,23.068672,0.00047344515100121497(0.0)
479,4 square 1,"(904, 904)",0,1634432,8.17216,23.068672,0.00023063154891133308(0.0)
480,4 square 0,"(915, 915)",0,1674450,8.37225,23.068672,0.00047374581918120385(0.0)
481,4 square 1,"(915, 915)",0,1674450,8.37225,23.068672,0.0002384966006502509(0.0)
482,4 square 0,"(926, 926)",0,1714952,8.57476,23.068672,0.0004891275498084724(0.0)
483,4 square 1,"(926, 926)",0,1714952,8.57476,23.068672,0.00024547466076910493(0.0)
484,4 square 0,"(936, 936)",0,1752192,8.76096,23.068672,0.0004923358489759267(0.0)
485,4 square 1,"(936, 936)",0,1752192,8.76096,23.068672,0.00024198062950745225(0.0)
486,4 square 0,"(947, 947)",0,1793618,8.96809,23.068672,0.0004910784587264061(0.0)
487,4 square 1,"(947, 947)",0,1793618,8.96809,23.068672,0.00025067753857001664(0.0)
488,4 square 0,"(957, 957)",0,1831698,9.15849,23.068672,0.000486028459854424(0.0)
489,4 square 1,"(957, 957)",0,1831698,9.15849,23.068672,0.0002511183894239366(0.0)
490,4 square 0,"(967, 967)",0,1870178,9.35089,23.068672,0.0004851007997058332(0.0)
491,4 square 1,"(967, 967)",0,1870178,9.35089,23.068672,0.00025360711850225926(0.0)
492,4 square 0,"(977, 977)",0,1909058,9.54529,23.068672,0.000483513290528208(0.0)
493,4 square 1,"(977, 977)",0,1909058,9.54529,23.068672,0.0002576733403839171(0.0)
494,4 square 0,"(987, 987)",0,1948338,9.74169,23.068672,0.00048396514961495995(0.0)
495,4 square 1,"(987, 987)",0,1948338,9.74169,23.068672,0.00026299464050680396(0.0)
496,4 square 0,"(997, 997)",0,1988018,9.94009,23.068672,0.00048566024983301756(0.0)
497,4 square 1,"(997, 997)",0,1988018,9.94009,23.068672,0.00026737276930361987(0.0)
498,4 square 0,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00048684780951589344(0.0)
499,4 square 1,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00026815284974873065(0.0)
500,4 square 0,"(1017, 1017)",0,2068578,10.34289,23.068672,0.0004843688989058137(0.0)
501,4 square 1,"(1017, 1017)",0,2068578,10.34289,23.068672,0.000273778650444001(0.0)
