,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
96,1 square 0,"(4752, 4752)",0,45163008,225.81504,392.167424,0.004736242510116426(0.0)
97,1 square 1,"(4752, 4752)",0,45163008,225.81504,392.167424,0.0037354513299942484(0.0)
98,1 square 0,"(4798, 4798)",0,46041608,230.20804,394.264576,0.0048926916599157265(0.0)
99,1 square 1,"(4798, 4798)",0,46041608,230.20804,394.264576,0.003808819760015467(0.0)
100,1 square 0,"(4844, 4844)",0,46928672,234.64336,408.94464,0.005057031309988815(0.0)
101,1 square 1,"(4844, 4844)",0,46928672,234.64336,408.94464,0.0038856704698991963(0.0)
102,1 square 0,"(4889, 4889)",0,47804642,239.02321,413.138944,0.005236346300080186(0.0)
103,1 square 1,"(4889, 4889)",0,47804642,239.02321,413.138944,0.003967144890048076(0.0)
104,1 square 0,"(4934, 4934)",0,48688712,243.44356,423.624704,0.005405132750020129(0.0)
105,1 square 1,"(4934, 4934)",0,48688712,243.44356,423.624704,0.004036999300005846(0.0)
106,1 square 0,"(4978, 4978)",0,49560968,247.80484,427.819008,0.005571373990096618(0.0)
107,1 square 1,"(4978, 4978)",0,49560968,247.80484,427.819008,0.004113299369928427(0.0)
108,1 square 0,"(5022, 5022)",0,50440968,252.20484,442.499072,0.005749816360039403(0.0)
109,1 square 1,"(5022, 5022)",0,50440968,252.20484,442.499072,0.004187544559972594(0.0)
110,1 square 0,"(5066, 5066)",0,51328712,256.64356,444.596224,0.005929446869995445(0.0)
111,1 square 1,"(5066, 5066)",0,51328712,256.64356,444.596224,0.004264509780041408(0.0)
112,1 square 0,"(5109, 5109)",0,52203762,261.01881,448.790528,0.006091025640052976(0.0)
113,1 square 1,"(5109, 5109)",0,52203762,261.01881,448.790528,0.004347482150042197(0.0)
114,1 square 0,"(5152, 5152)",0,53086208,265.43104,461.37344,0.006259355950023746(0.0)
115,1 square 1,"(5152, 5152)",0,53086208,265.43104,461.37344,0.004495038930035662(0.0)
116,1 square 0,"(5194, 5194)",0,53955272,269.77636,463.470592,0.006445523419970413(0.0)
117,1 square 1,"(5194, 5194)",0,53955272,269.77636,463.470592,0.004492032819980523(0.0)
118,1 square 0,"(5236, 5236)",0,54831392,274.15696,478.150656,0.006598601239966228(0.0)
119,1 square 1,"(5236, 5236)",0,54831392,274.15696,478.150656,0.00457002219001879(0.0)
120,1 square 0,"(5278, 5278)",0,55714568,278.57284,482.34496,0.006771518400055357(0.0)
121,1 square 1,"(5278, 5278)",0,55714568,278.57284,482.34496,0.004644950390065787(0.0)
122,1 square 0,"(5320, 5320)",0,56604800,283.024,484.442112,0.00694511595997028(0.0)
123,1 square 1,"(5320, 5320)",0,56604800,283.024,484.442112,0.004720517579989973(0.0)
124,1 square 0,"(5361, 5361)",0,57480642,287.40321,497.025024,0.007114615400059848(0.0)
125,1 square 1,"(5361, 5361)",0,57480642,287.40321,497.025024,0.004797787089919439(0.0)
126,1 square 0,"(5402, 5402)",0,58363208,291.81604,501.219328,0.007285661659989273(0.0)
