,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
665,8 square 1,"(824, 824)",0,1357952,6.78976,23.068672,0.00014666891889646648(0.0),8.359699975699186e-05(0.0)
666,8 square 0,"(836, 836)",0,1397792,6.98896,23.068672,0.00036233766004443166(0.0),0.00035444994922727345(0.0)
667,8 square 1,"(836, 836)",0,1397792,6.98896,23.068672,0.00014770447043702006(0.0),8.72769602574408e-05(0.0)
668,8 square 0,"(848, 848)",0,1438208,7.19104,23.068672,0.0003612567181698978(0.0),0.00031798513140529394(0.0)
669,8 square 1,"(848, 848)",0,1438208,7.19104,23.068672,0.00015052450820803642(0.0),8.099478902295231e-05(0.0)
670,8 square 0,"(859, 859)",0,1475762,7.37881,23.068672,0.00037293369183316827(0.0),0.00033700969070196154(0.0)
671,8 square 1,"(859, 859)",0,1475762,7.37881,23.068672,0.00015326770022511482(0.0),8.790975902229547e-05(0.0)
672,8 square 0,"(871, 871)",0,1517282,7.58641,23.068672,0.0003799830097705126(0.0),0.00034661123063415287(0.0)
673,8 square 1,"(871, 871)",0,1517282,7.58641,23.068672,0.00015906816115602852(0.0),9.205539943650365e-05(0.0)
674,8 square 0,"(882, 882)",0,1555848,7.77924,23.068672,0.00037761233048513534(0.0),0.0003351550805382431(0.0)
675,8 square 1,"(882, 882)",0,1555848,7.77924,23.068672,0.00015735701890662313(0.0),8.729159133508802e-05(0.0)
676,8 square 0,"(893, 893)",0,1594898,7.97449,23.068672,0.00038709535030648115(0.0),0.0003262971411459148(0.0)
677,8 square 1,"(893, 893)",0,1594898,7.97449,23.068672,0.00015819091117009521(0.0),9.489064803346991e-05(0.0)
678,8 square 0,"(904, 904)",0,1634432,8.17216,23.068672,0.0003812071308493614(0.0),0.00036267640069127083(0.0)
679,8 square 1,"(904, 904)",0,1634432,8.17216,23.068672,0.000159382950514555(0.0),9.069381980225444e-05(0.0)
680,8 square 0,"(915, 915)",0,1674450,8.37225,23.068672,0.00038560144137591125(0.0),0.0003405432612635195(0.0)
681,8 square 1,"(915, 915)",0,1674450,8.37225,23.068672,0.0001596123888157308(0.0),9.91091295145452e-05(0.0)
682,8 square 0,"(926, 926)",0,1714952,8.57476,23.068672,0.0003916222113184631(0.0),0.00036616318859159945(0.0)
683,8 square 1,"(926, 926)",0,1714952,8.57476,23.068672,0.00015975264832377434(0.0),9.626104962080717e-05(0.0)
684,8 square 0,"(936, 936)",0,1752192,8.76096,23.068672,0.00038253966020420195(0.0),0.00037141171982511877(0.0)
685,8 square 1,"(936, 936)",0,1752192,8.76096,23.068672,0.00016033075051382183(0.0),0.00010267757112160325(0.0)
686,8 square 0,"(947, 947)",0,1793618,8.96809,23.068672,0.0003829429089091718(0.0),0.0003591681690886617(0.0)
687,8 square 1,"(947, 947)",0,1793618,8.96809,23.068672,0.0001609356887638569(0.0),9.870346169918776e-05(0.0)
