,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
54,1 square 0,"(3655, 3655)",0,26718050,133.59025,163.577856,0.0008058561199868564(0.0),0.000684498010086827(0.0)
55,1 square 1,"(3655, 3655)",0,26718050,133.59025,163.577856,0.0010524153099686373(0.0),0.0009396459300478455(0.0)
56,1 square 0,"(3715, 3715)",0,27602450,138.01225,171.966464,0.0008406620899040718(0.0),0.0007161998099763878(0.0)
57,1 square 1,"(3715, 3715)",0,27602450,138.01225,171.966464,0.001086614939995343(0.0),0.0009714605400222353(0.0)
58,1 square 0,"(3773, 3773)",0,28471058,142.35529,176.160768,0.0008774373699270654(0.0),0.0007515650399727747(0.0)
59,1 square 1,"(3773, 3773)",0,28471058,142.35529,176.160768,0.0011242403299547732(0.0),0.0010055849299533293(0.0)
60,1 square 0,"(3831, 3831)",0,29353122,146.76561,178.25792,0.0009619882400147616(0.0),0.0007926645899715368(0.0)
61,1 square 1,"(3831, 3831)",0,29353122,146.76561,178.25792,0.0011588938199565747(0.0),0.0010390149799059144(0.0)
62,1 square 0,"(3888, 3888)",0,30233088,151.16544,186.646528,0.0009672466799383983(0.0),0.0008368716300174128(0.0)
63,1 square 1,"(3888, 3888)",0,30233088,151.16544,186.646528,0.0011955644100089557(0.0),0.0010762603700277395(0.0)
64,1 square 0,"(3944, 3944)",0,31110272,155.55136,190.840832,0.0010242044100596103(0.0),0.0008910826599458232(0.0)
65,1 square 1,"(3944, 3944)",0,31110272,155.55136,190.840832,0.0012304966998635792(0.0),0.0011047497999970802(0.0)
66,1 square 0,"(4000, 4000)",0,32000000,160.0,199.22944,0.0011057938699377701(0.0),0.0009704986200085842(0.0)
67,1 square 1,"(4000, 4000)",0,32000000,160.0,199.22944,0.0013438456800940913(0.0),0.001139236970047932(0.0)
68,1 square 0,"(4054, 4054)",0,32869832,164.34916,201.326592,0.0011748667899519206(0.0),0.0010367589299858082(0.0)
