,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
120,1 square 0,"(5278, 5278)",0,55714568,278.57284,593.494016,0.007981812840007478(0.0)
121,1 square 1,"(5278, 5278)",0,55714568,278.57284,593.494016,0.0039345266600139435(0.0)
122,1 square 0,"(5320, 5320)",0,56604800,283.024,597.68832,0.008148034860059852(0.0)
123,1 square 1,"(5320, 5320)",0,56604800,283.024,597.68832,0.003978325659991242(0.0)
124,1 square 0,"(5361, 5361)",0,57480642,287.40321,610.271232,0.008365133589977631(0.0)
125,1 square 1,"(5361, 5361)",0,57480642,287.40321,610.271232,0.0040664640499744565(0.0)
126,1 square 0,"(5402, 5402)",0,58363208,291.81604,618.65984,0.008478102480003144(0.0)
127,1 square 1,"(5402, 5402)",0,58363208,291.81604,618.65984,0.004120087799965404(0.0)
128,1 square 0,"(5442, 5442)",0,59230728,296.15364,629.1456,0.008646385989995906(0.0)
129,1 square 1,"(5442, 5442)",0,59230728,296.15364,629.1456,0.004202765270019881(0.0)
130,1 square 0,"(5482, 5482)",0,60104648,300.52324,637.534208,0.00881351899006404(0.0)
131,1 square 1,"(5482, 5482)",0,60104648,300.52324,637.534208,0.004262000260059722(0.0)
132,1 square 0,"(5522, 5522)",0,60984968,304.92484,650.11712,0.008983984950027661(0.0)
133,1 square 1,"(5522, 5522)",0,60984968,304.92484,650.11712,0.004352488330041524(0.0)
134,1 square 0,"(5562, 5562)",0,61871688,309.35844,658.505728,0.009173937180021312(0.0)
135,1 square 1,"(5562, 5562)",0,61871688,309.35844,658.505728,0.004401090250030393(0.0)
136,1 square 0,"(5601, 5601)",0,62742402,313.71201,662.700032,0.009319158050057013(0.0)
137,1 square 1,"(5601, 5601)",0,62742402,313.71201,662.700032,0.004462948669970501(0.0)
138,1 square 0,"(5640, 5640)",0,63619200,318.096,677.380096,0.009480874860018957(0.0)
139,1 square 1,"(5640, 5640)",0,63619200,318.096,677.380096,0.0045378620900737585(0.0)
140,1 square 0,"(5679, 5679)",0,64502082,322.51041,685.768704,0.009657714360073441(0.0)
141,1 square 1,"(5679, 5679)",0,64502082,322.51041,685.768704,0.0046163971700298135(0.0)
142,1 square 0,"(5718, 5718)",0,65391048,326.95524,694.157312,0.00982471423005336(0.0)
143,1 square 1,"(5718, 5718)",0,65391048,326.95524,694.157312,0.004683594170055585(0.0)
144,1 square 0,"(5756, 5756)",0,66263072,331.31536,702.54592,0.009996828559960704(0.0)
145,1 square 1,"(5756, 5756)",0,66263072,331.31536,702.54592,0.004758895539998776(0.0)
146,1 square 0,"(5794, 5794)",0,67140872,335.70436,717.225984,0.01016944853006862(0.0)
147,1 square 1,"(5794, 5794)",0,67140872,335.70436,717.225984,0.004830310390098021(0.0)
148,1 square 0,"(5832, 5832)",0,68024448,340.12224,721.420288,0.010328072039992548(0.0)
149,1 square 1,"(5832, 5832)",0,68024448,340.12224,721.420288,0.0048994729800324426(0.0)
150,1 square 0,"(5869, 5869)",0,68890322,344.45161,729.808896,0.010496290940063773(0.0)
151,1 square 1,"(5869, 5869)",0,68890322,344.45161,729.808896,0.004967707970063202(0.0)
152,1 square 0,"(5907, 5907)",0,69785298,348.92649,742.391808,0.010686195449961815(0.0)
153,1 square 1,"(5907, 5907)",0,69785298,348.92649,742.391808,0.005046900180022931(0.0)
154,1 square 0,"(5944, 5944)",0,70662272,353.31136,746.586112,0.010832662850007183(0.0)
155,1 square 1,"(5944, 5944)",0,70662272,353.31136,746.586112,0.005094020230026217(0.0)
156,1 square 0,"(5981, 5981)",0,71544722,357.72361,761.266176,0.01099688664995483(0.0)
157,1 square 1,"(5981, 5981)",0,71544722,357.72361,761.266176,0.005163331660005497(0.0)
