,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
108,1 square 0,"(5022, 5022)",0,50440968,252.20484,541.065216,0.0069767217300250196(0.0)
109,1 square 1,"(5022, 5022)",0,50440968,252.20484,541.065216,0.0034986067700083366(0.0)
110,1 square 0,"(5066, 5066)",0,51328712,256.64356,545.25952,0.007136092760047177(0.0)
111,1 square 1,"(5066, 5066)",0,51328712,256.64356,545.25952,0.003565903759881621(0.0)
112,1 square 0,"(5109, 5109)",0,52203762,261.01881,553.648128,0.007308713230013381(0.0)
113,1 square 1,"(5109, 5109)",0,52203762,261.01881,553.648128,0.003636398100061342(0.0)
114,1 square 0,"(5152, 5152)",0,53086208,265.43104,566.23104,0.007477114219946088(0.0)
115,1 square 1,"(5152, 5152)",0,53086208,265.43104,566.23104,0.0037006768900027963(0.0)
116,1 square 0,"(5194, 5194)",0,53955272,269.77636,570.425344,0.007646724299993366(0.0)
117,1 square 1,"(5194, 5194)",0,53955272,269.77636,570.425344,0.0037753076398803387(0.0)
118,1 square 0,"(5236, 5236)",0,54831392,274.15696,585.105408,0.007812578470038715(0.0)
119,1 square 1,"(5236, 5236)",0,54831392,274.15696,585.105408,0.003842838659911649(0.0)
120,1 square 0,"(5278, 5278)",0,55714568,278.57284,593.494016,0.00797674494999228(0.0)
121,1 square 1,"(5278, 5278)",0,55714568,278.57284,593.494016,0.003913020820036763(0.0)
122,1 square 0,"(5320, 5320)",0,56604800,283.024,597.68832,0.008144215359934606(0.0)
123,1 square 1,"(5320, 5320)",0,56604800,283.024,597.68832,0.003978573509957641(0.0)
124,1 square 0,"(5361, 5361)",0,57480642,287.40321,610.271232,0.008322412970010191(0.0)
125,1 square 1,"(5361, 5361)",0,57480642,287.40321,610.271232,0.004063681760017062(0.0)
126,1 square 0,"(5402, 5402)",0,58363208,291.81604,618.65984,0.008482041859970195(0.0)
127,1 square 1,"(5402, 5402)",0,58363208,291.81604,618.65984,0.004126470819901442(0.0)
128,1 square 0,"(5442, 5442)",0,59230728,296.15364,629.1456,0.008654294409934664(0.0)
129,1 square 1,"(5442, 5442)",0,59230728,296.15364,629.1456,0.00419452183006797(0.0)
130,1 square 0,"(5482, 5482)",0,60104648,300.52324,637.534208,0.008816966940066777(0.0)
131,1 square 1,"(5482, 5482)",0,60104648,300.52324,637.534208,0.004243607579992386(0.0)
132,1 square 0,"(5522, 5522)",0,60984968,304.92484,650.11712,0.008984776089928346(0.0)
133,1 square 1,"(5522, 5522)",0,60984968,304.92484,650.11712,0.004336373900005128(0.0)
134,1 square 0,"(5562, 5562)",0,61871688,309.35844,658.505728,0.009146850079996511(0.0)
135,1 square 1,"(5562, 5562)",0,61871688,309.35844,658.505728,0.004404796219896525(0.0)
136,1 square 0,"(5601, 5601)",0,62742402,313.71201,662.700032,0.009324906889960403(0.0)
137,1 square 1,"(5601, 5601)",0,62742402,313.71201,662.700032,0.0044956401899980845(0.0)
138,1 square 0,"(5640, 5640)",0,63619200,318.096,677.380096,0.009529146069980924(0.0)
139,1 square 1,"(5640, 5640)",0,63619200,318.096,677.380096,0.004542003799870144(0.0)
140,1 square 0,"(5679, 5679)",0,64502082,322.51041,685.768704,0.00965881812007865(0.0)
141,1 square 1,"(5679, 5679)",0,64502082,322.51041,685.768704,0.004630914220033446(0.0)
142,1 square 0,"(5718, 5718)",0,65391048,326.95524,694.157312,0.009828261239890708(0.0)
143,1 square 1,"(5718, 5718)",0,65391048,326.95524,694.157312,0.004691728739999235(0.0)
144,1 square 0,"(5756, 5756)",0,66263072,331.31536,702.54592,0.009991092039999785(0.0)
