,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
407,4 square 1,"(330, 330)",0,217800,1.089,2.097152,9.997454006224871e-05(0.0)
408,4 square 0,"(358, 358)",0,256328,1.28164,2.097152,0.0001361735095269978(0.0)
409,4 square 1,"(358, 358)",0,256328,1.28164,2.097152,0.00010727850953117013(0.0)
410,4 square 0,"(385, 385)",0,296450,1.48225,23.068672,0.0001339265494607389(0.0)
411,4 square 1,"(385, 385)",0,296450,1.48225,23.068672,9.394207969307899e-05(0.0)
412,4 square 0,"(410, 410)",0,336200,1.681,23.068672,0.00016153058037161828(0.0)
413,4 square 1,"(410, 410)",0,336200,1.681,23.068672,0.00011024274863302708(0.0)
414,4 square 0,"(433, 433)",0,374978,1.87489,23.068672,0.00016133852070197464(0.0)
415,4 square 1,"(433, 433)",0,374978,1.87489,23.068672,0.0001080475701019168(0.0)
416,4 square 0,"(455, 455)",0,414050,2.07025,23.068672,0.00015118812909349798(0.0)
417,4 square 1,"(455, 455)",0,414050,2.07025,23.068672,0.00011013544164597988(0.0)
418,4 square 0,"(476, 476)",0,453152,2.26576,23.068672,0.0001841710996814072(0.0)
419,4 square 1,"(476, 476)",0,453152,2.26576,23.068672,0.00012534983921796083(0.0)
420,4 square 0,"(496, 496)",0,492032,2.46016,23.068672,0.00018578144023194908(0.0)
421,4 square 1,"(496, 496)",0,492032,2.46016,23.068672,0.0001264739688485861(0.0)
422,4 square 0,"(516, 516)",0,532512,2.66256,23.068672,0.00017013481818139553(0.0)
423,4 square 1,"(516, 516)",0,532512,2.66256,23.068672,0.00011958007933571935(0.0)
424,4 square 0,"(535, 535)",0,572450,2.86225,23.068672,0.00020154519937932492(0.0)
425,4 square 1,"(535, 535)",0,572450,2.86225,23.068672,0.00012516188900917768(0.0)
426,4 square 0,"(553, 553)",0,611618,3.05809,23.068672,0.00019927117973566054(0.0)
427,4 square 1,"(553, 553)",0,611618,3.05809,23.068672,0.0001308565982617438(0.0)
428,4 square 0,"(570, 570)",0,649800,3.249,23.068672,0.00017865350935608148(0.0)
429,4 square 1,"(570, 570)",0,649800,3.249,23.068672,0.00012855062028393149(0.0)
430,4 square 0,"(587, 587)",0,689138,3.44569,23.068672,0.00019393404014408588(0.0)
431,4 square 1,"(587, 587)",0,689138,3.44569,23.068672,0.00013500056928023697(0.0)
432,4 square 0,"(604, 604)",0,729632,3.64816,23.068672,0.00019110317109152675(0.0)
433,4 square 1,"(604, 604)",0,729632,3.64816,23.068672,0.00014258978888392448(0.0)
434,4 square 0,"(620, 620)",0,768800,3.844,23.068672,0.00019323390908539294(0.0)
435,4 square 1,"(620, 620)",0,768800,3.844,23.068672,0.00014050874160602688(0.0)
436,4 square 0,"(636, 636)",0,808992,4.04496,23.068672,0.00020271392073482276(0.0)
437,4 square 1,"(636, 636)",0,808992,4.04496,23.068672,0.00014104315778240561(0.0)
438,4 square 0,"(651, 651)",0,847602,4.23801,23.068672,0.00020773295080289244(0.0)
439,4 square 1,"(651, 651)",0,847602,4.23801,23.068672,0.000157164188567549(0.0)
440,4 square 0,"(666, 666)",0,887112,4.43556,25.165824,0.0002131039509549737(0.0)
441,4 square 1,"(666, 666)",0,887112,4.43556,25.165824,0.0001519554783590138(0.0)
442,4 square 0,"(680, 680)",0,924800,4.624,25.165824,0.0002050677896477282(0.0)
443,4 square 1,"(680, 680)",0,924800,4.624,25.165824,0.00015237327897921205(0.0)
444,4 square 0,"(695, 695)",0,966050,4.83025,25.165824,0.00021977952914312482(0.0)
445,4 square 1,"(695, 695)",0,966050,4.83025,25.165824,0.00015737216919660567(0.0)
446,4 square 0,"(709, 709)",0,1005362,5.02681,25.165824,0.00021994875045493244(0.0)
447,4 square 1,"(709, 709)",0,1005362,5.02681,25.165824,0.0001628328487277031(0.0)
448,4 square 0,"(722, 722)",0,1042568,5.21284,25.165824,0.00019505236065015197(0.0)
449,4 square 1,"(722, 722)",0,1042568,5.21284,25.165824,0.00016406357986852526(0.0)
450,4 square 0,"(736, 736)",0,1083392,5.41696,23.068672,0.00019492280203849079(0.0)
451,4 square 1,"(736, 736)",0,1083392,5.41696,23.068672,0.0001703767804428935(0.0)
452,4 square 0,"(749, 749)",0,1122002,5.61001,23.068672,0.00020481881918385625(0.0)
453,4 square 1,"(749, 749)",0,1122002,5.61001,23.068672,0.0001729282201267779(0.0)
