,Input Shape,Input size,Sparsities (matA),Total elements,Input memory,Total memory,GPU clock time (IQR)
20,Square,"(4836, 4836)",0.9949385523796082,23386896,46.773792,96.468992,0.000335741110611707(0.0)
21,Square,"(4935, 4935)",0.9949491024017334,24354225,48.70845,100.663296,0.0003494144696742296(0.0)
22,Square,"(5033, 5033)",0.9949604272842407,25331089,50.662178,104.8576,0.0003606562397908419(0.0)
23,Square,"(5128, 5128)",0.9949763417243958,26296384,52.592768,109.051904,0.00036975088994950056(0.0)
24,Square,"(5222, 5222)",0.994997501373291,27269284,54.538568,113.246208,0.00038709484972059726(0.0)
25,Square,"(5314, 5314)",0.9950023293495178,28238596,56.477192,113.246208,0.00040814361069351434(0.0)
26,Square,"(5404, 5404)",0.9950026869773865,29203216,58.406432,117.440512,0.0004349613399244845(0.0)
27,Square,"(5493, 5493)",0.995025098323822,30173049,60.346098,121.634816,0.0004415996395982802(0.0)
28,Square,"(5581, 5581)",0.9950122833251953,31147561,62.295122,125.82912,0.0004620360396802425(0.0)
29,Square,"(5667, 5667)",0.9950099587440491,32114889,64.229778,130.023424,0.00045808619935996833(0.0)
30,Square,"(5752, 5752)",0.9950097799301147,33085504,66.171008,134.217728,0.00047077831113711(0.0)
31,Square,"(5836, 5836)",0.9949765801429749,34058896,68.117792,138.412032,0.0004830331995617598(0.0)
32,Square,"(5918, 5918)",0.9949721693992615,35022724,70.045448,142.606336,0.0004951721697580069(0.0)
33,Square,"(6000, 6000)",0.9949871301651001,36000000,72.0,146.80064,0.0005267814197577537(0.0)
34,Square,"(6080, 6080)",0.99500572681427,36966400,73.9328,150.994944,0.0005381374096032232(0.0)
35,Square,"(6159, 6159)",0.9950044751167297,37933281,75.866562,155.189248,0.0005358826601877809(0.0)
36,Square,"(6237, 6237)",0.9949806928634644,38900169,77.800338,159.383552,0.0005616328702308238(0.0)
