,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (fuse) (IQR),GPU clock time (no fuse) (IQR)
110,2; 0; 1,"(10697, 10697)",0,114436506,228.937194,1151.336448,0.005076076530385763(0.0),0.005073057780973614(0.0)
111,2; 1; 1,"(10697, 10697)",0,114436506,228.937194,924.844032,0.01173701066058129(0.0),0.011739922619890422(0.0)
112,2; 0; 1,"(10788, 10788)",0,116391732,232.848192,1163.91936,0.00510355057194829(0.0),0.005101439279969782(0.0)
113,2; 1; 1,"(10788, 10788)",0,116391732,232.848192,933.23264,0.011676376219838858(0.0),0.011647824819665403(0.0)
114,2; 0; 1,"(10878, 10878)",0,118341762,236.748792,1182.793728,0.00522244452033192(0.0),0.00521896880120039(0.0)
115,2; 1; 1,"(10878, 10878)",0,118341762,236.748792,950.009856,0.014411174240522087(0.0),0.014400783129967749(0.0)
116,2; 0; 1,"(10967, 10967)",0,120286056,240.637914,1203.765248,0.00533059802139178(0.0),0.005330994329415262(0.0)
117,2; 1; 1,"(10967, 10967)",0,120286056,240.637914,966.787072,0.012774602700956166(0.0),0.012774917487986386(0.0)
118,2; 0; 1,"(11055, 11055)",0,122224080,244.51449,1224.736768,0.005423383680172264(0.0),0.00542355895973742(0.0)
119,2; 1; 1,"(11055, 11055)",0,122224080,244.51449,983.564288,0.011047630850225688(0.0),0.011025540721602738(0.0)
120,2; 0; 1,"(11143, 11143)",0,124177592,248.422042,1245.708288,0.005494962360244244(0.0),0.005492014409974218(0.0)
121,2; 1; 1,"(11143, 11143)",0,124177592,248.422042,1000.341504,0.012027298309840262(0.0),0.012093346389010549(0.0)
122,2; 0; 1,"(11229, 11229)",0,126101670,252.270714,1266.679808,0.005576228529680521(0.0),0.005577509000431746(0.0)
123,2; 1; 1,"(11229, 11229)",0,126101670,252.270714,1017.11872,0.013366511070635169(0.0),0.013323573309462518(0.0)
124,2; 0; 1,"(11316, 11316)",0,128063172,256.19424,1287.651328,0.005592716208193451(0.0),0.00559492152184248(0.0)
125,2; 1; 1,"(11316, 11316)",0,128063172,256.19424,1033.895936,0.013638770438265056(0.0),0.013638991359621287(0.0)
126,2; 0; 1,"(11401, 11401)",0,129994202,260.05681,1300.23424,0.0057332791807129975(0.0),0.005730904648080468(0.0)
