,Input dims,Input size,"Sparsities (input, other)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
76,2,"[(7194, 7194), (7194, 7194)]",0 ; 0,103507272,207.014544,314.5728,0.005162719190120697(0.0)
77,2,"[(7239, 7239), (7239, 7239)]",0 ; 0,104806242,209.612484,314.5728,0.009575199829414486(0.0)
78,2,"[(7283, 7283), (7283, 7283)]",0 ; 0,106084178,212.168356,320.864256,0.009539131430210545(0.0)
79,2,"[(7328, 7328), (7328, 7328)]",0 ; 0,107399168,214.798336,327.155712,0.003011349969310686(0.0)
80,2,"[(7372, 7372), (7372, 7372)]",0 ; 0,108692768,217.385536,327.155712,0.005560370379826054(0.0)
81,2,"[(7416, 7416), (7416, 7416)]",0 ; 0,109994112,219.988224,333.447168,0.003192973069380969(0.0)
82,2,"[(7459, 7459), (7459, 7459)]",0 ; 0,111273362,222.546724,339.738624,0.01027352930046618(0.0)
83,2,"[(7503, 7503), (7503, 7503)]",0 ; 0,112590018,225.180036,339.738624,0.01035268624080345(0.0)
84,2,"[(7546, 7546), (7546, 7546)]",0 ; 0,113884232,227.768464,346.03008,0.0057271897199098025(0.0)
85,2,"[(7588, 7588), (7588, 7588)]",0 ; 0,115155488,230.310976,346.03008,0.005981231320183724(0.0)
86,2,"[(7631, 7631), (7631, 7631)]",0 ; 0,116464322,232.928644,352.321536,0.010769392300862818(0.0)
87,2,"[(7673, 7673), (7673, 7673)]",0 ; 0,117749858,235.499716,358.612992,0.011304256969597191(0.0)
88,2,"[(7716, 7716), (7716, 7716)]",0 ; 0,119073312,238.146624,358.612992,0.006502817129949108(0.0)
89,2,"[(7757, 7757), (7757, 7757)]",0 ; 0,120342098,240.684196,364.904448,0.011393718529725448(0.0)
90,2,"[(7799, 7799), (7799, 7799)]",0 ; 0,121648802,243.297604,371.195904,0.01130362787982449(0.0)
91,2,"[(7841, 7841), (7841, 7841)]",0 ; 0,122962562,245.925124,371.195904,0.011448413430480286(0.0)
92,2,"[(7882, 7882), (7882, 7882)]",0 ; 0,124251848,248.503696,377.48736,0.006638361959485337(0.0)
93,2,"[(7923, 7923), (7923, 7923)]",0 ; 0,125547858,251.095716,377.48736,0.01143635347019881(0.0)
94,2,"[(7964, 7964), (7964, 7964)]",0 ; 0,126850592,253.701184,383.778816,0.006971895470051095(0.0)
95,2,"[(8004, 8004), (8004, 8004)]",0 ; 0,128128032,256.256064,390.070272,0.007200571540743113(0.0)
96,2,"[(8045, 8045), (8045, 8045)]",0 ; 0,129444050,258.8881,390.070272,0.012779573339503258(0.0)
97,2,"[(8085, 8085), (8085, 8085)]",0 ; 0,130734450,261.4689,396.361728,0.012778183380141854(0.0)
98,2,"[(8125, 8125), (8125, 8125)]",0 ; 0,132031250,264.0625,396.361728,0.01244447626057081(0.0)
99,2,"[(8164, 8164), (8164, 8164)]",0 ; 0,133301792,266.603584,402.653184,0.006922295819967985(0.0)
