,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
77,2; 1; 2,"(5000, 5000)",0,25002500,50.02,77.594624,0.00016420761006884276(0.0)
78,2; 1; 4,"(5000, 5000)",0,25001250,50.01,65.011712,8.927255985327064e-05(0.0)
79,2; 1; 8,"(5000, 5000)",0,25000625,50.005,73.40032,5.6060999631881715e-05(0.0)
80,2; 0; 1,"(5190, 5190)",0,26941290,53.91372,111.149056,0.00031622154987417163(0.0)
81,2; 0; 2,"(5190, 5190)",0,26938695,53.89296,83.88608,0.0001610317302402109(0.0)
82,2; 0; 4,"(5190, 5190)",0,26937397,53.882576,71.303168,7.206305046565831e-05(0.0)
83,2; 0; 8,"(5190, 5190)",0,26936748,53.877384,77.594624,3.4460809547454116e-05(0.0)
84,2; 1; 1,"(5190, 5190)",0,26941290,53.91372,111.149056,0.00034242981928400695(0.0)
85,2; 1; 2,"(5190, 5190)",0,26938695,53.89296,83.88608,0.00017651078989729284(0.0)
86,2; 1; 4,"(5190, 5190)",0,26937397,53.882576,71.303168,9.580977028235793e-05(0.0)
87,2; 1; 8,"(5190, 5190)",0,26936748,53.877384,77.594624,5.96377404872328e-05(0.0)
88,2; 0; 1,"(5374, 5374)",0,28885250,57.802744,119.537664,0.00033966260962188245(0.0)
89,2; 0; 2,"(5374, 5374)",0,28882563,57.781248,90.177536,0.0001724070601630956(0.0)
90,2; 0; 4,"(5374, 5374)",0,28881219,57.770496,75.497472,8.021400077268481e-05(0.0)
91,2; 0; 8,"(5374, 5374)",0,28880547,57.76512,81.788928,3.663470968604088e-05(0.0)
92,2; 1; 1,"(5374, 5374)",0,28885250,57.802744,119.537664,0.00036950723035261034(0.0)
93,2; 1; 2,"(5374, 5374)",0,28882563,57.781248,90.177536,0.00018738887971267104(0.0)
94,2; 1; 4,"(5374, 5374)",0,28881219,57.770496,75.497472,0.0001033154095057398(0.0)
95,2; 1; 8,"(5374, 5374)",0,28880547,57.76512,81.788928,0.00012727994937449693(0.0)
96,2; 0; 1,"(5552, 5552)",0,30830256,61.693824,127.926272,0.0003610197501257062(0.0)
97,2; 0; 2,"(5552, 5552)",0,30827480,61.671616,96.468992,0.00018434935947880148(0.0)
98,2; 0; 4,"(5552, 5552)",0,30826092,61.660512,81.788928,8.802901953458786e-05(0.0)
99,2; 0; 8,"(5552, 5552)",0,30825398,61.65496,85.983232,3.9265970699489116e-05(0.0)
100,2; 1; 1,"(5552, 5552)",0,30830256,61.693824,127.926272,0.0003914365405216813(0.0)
101,2; 1; 2,"(5552, 5552)",0,30827480,61.671616,96.468992,0.00019990726024843753(0.0)
102,2; 1; 4,"(5552, 5552)",0,30826092,61.660512,81.788928,0.00011164740077219903(0.0)
103,2; 1; 8,"(5552, 5552)",0,30825398,61.65496,85.983232,8.298792061395944e-05(0.0)
104,2; 0; 1,"(5725, 5725)",0,32781350,65.59705,136.31488,0.00038181031006388364(0.0)
105,2; 0; 2,"(5725, 5725)",0,32778487,65.574146,102.760448,0.00019400495104491712(0.0)
106,2; 0; 4,"(5725, 5725)",0,32777056,65.562698,85.983232,9.564826963469386e-05(0.0)
107,2; 0; 8,"(5725, 5725)",0,32776340,65.55697,90.177536,4.1091700550168755e-05(0.0)
108,2; 1; 1,"(5725, 5725)",0,32781350,65.59705,136.31488,0.0004134840692859143(0.0)
109,2; 1; 2,"(5725, 5725)",0,32778487,65.574146,102.760448,0.0002126286190468818(0.0)
110,2; 1; 4,"(5725, 5725)",0,32777056,65.562698,85.983232,0.00011640106095001101(0.0)
111,2; 1; 8,"(5725, 5725)",0,32776340,65.55697,90.177536,7.327273022383451e-05(0.0)
112,2; 0; 1,"(5892, 5892)",0,34721556,69.478464,144.703488,0.0004020605597179383(0.0)
113,2; 0; 2,"(5892, 5892)",0,34718610,69.454896,109.051904,0.00020464678993448616(0.0)
114,2; 0; 4,"(5892, 5892)",0,34717137,69.443112,92.274688,0.00010206575971096754(0.0)
115,2; 0; 8,"(5892, 5892)",0,34716400,69.437216,94.37184,4.320258041843772e-05(0.0)
116,2; 1; 1,"(5892, 5892)",0,34721556,69.478464,144.703488,0.0004474775097332895(0.0)
117,2; 1; 2,"(5892, 5892)",0,34718610,69.454896,109.051904,0.0002300510404165834(0.0)
118,2; 1; 4,"(5892, 5892)",0,34717137,69.443112,92.274688,0.0001221736497245729(0.0)
119,2; 1; 8,"(5892, 5892)",0,34716400,69.437216,94.37184,7.540403050370514e-05(0.0)
120,2; 0; 1,"(6055, 6055)",0,36669080,73.37449,148.897792,0.00042281034984625876(0.0)
121,2; 0; 2,"(6055, 6055)",0,36666052,73.350266,113.246208,0.0002546403603628278(0.0)
122,2; 0; 4,"(6055, 6055)",0,36664538,73.338154,94.37184,0.0001085577893536538(0.0)
123,2; 0; 8,"(6055, 6055)",0,36663781,73.332098,96.468992,4.538849927484989e-05(0.0)
124,2; 1; 1,"(6055, 6055)",0,36669080,73.37449,148.897792,0.0004654280294198543(0.0)
125,2; 1; 2,"(6055, 6055)",0,36666052,73.350266,113.246208,0.0002411040710285306(0.0)
126,2; 1; 4,"(6055, 6055)",0,36664538,73.338154,94.37184,0.00012969881063327194(0.0)
127,2; 1; 8,"(6055, 6055)",0,36663781,73.332098,96.468992,8.03501601330936e-05(0.0)
128,2; 0; 1,"(6213, 6213)",0,38607582,77.252442,157.2864,0.000445106039987877(0.0)
129,2; 0; 2,"(6213, 6213)",0,38604475,77.227586,119.537664,0.000225228660274297(0.0)
130,2; 0; 4,"(6213, 6213)",0,38602922,77.215162,100.663296,0.0001150817796587944(0.0)
131,2; 0; 8,"(6213, 6213)",0,38602145,77.208946,100.663296,4.757742048241198e-05(0.0)
132,2; 1; 1,"(6213, 6213)",0,38607582,77.252442,157.2864,0.0005085757200140506(0.0)
133,2; 1; 2,"(6213, 6213)",0,38604475,77.227586,119.537664,0.0002551535307429731(0.0)
134,2; 1; 4,"(6213, 6213)",0,38602922,77.215162,100.663296,0.00013926072977483273(0.0)
135,2; 1; 8,"(6213, 6213)",0,38602145,77.208946,100.663296,8.94700305070728e-05(0.0)
136,2; 0; 1,"(6368, 6368)",0,40557792,81.153792,165.675008,0.00046262735966593025(0.0)
137,2; 0; 2,"(6368, 6368)",0,40554608,81.12832,125.82912,0.00023442909005098045(0.0)
138,2; 0; 4,"(6368, 6368)",0,40553016,81.115584,104.8576,0.00011924362974241376(0.0)
139,2; 0; 8,"(6368, 6368)",0,40552220,81.109216,104.8576,4.9745599972084166e-05(0.0)
140,2; 1; 1,"(6368, 6368)",0,40557792,81.153792,165.675008,0.0005035059701185673(0.0)
141,2; 1; 2,"(6368, 6368)",0,40554608,81.12832,125.82912,0.0002643748093396425(0.0)
142,2; 1; 4,"(6368, 6368)",0,40553016,81.115584,104.8576,0.0001434621401131153(0.0)
143,2; 1; 8,"(6368, 6368)",0,40552220,81.109216,104.8576,9.1684510698542e-05(0.0)
144,2; 0; 1,"(6519, 6519)",0,42503880,85.046874,174.063616,0.0004863626603037119(0.0)
145,2; 0; 2,"(6519, 6519)",0,42500620,85.020794,132.120576,0.0002458930900320411(0.0)
146,2; 0; 4,"(6519, 6519)",0,42498990,85.007754,111.149056,0.00012616705964319408(0.0)
147,2; 0; 8,"(6519, 6519)",0,42498175,85.001234,100.663296,5.305664031766355e-05(0.0)
148,2; 1; 1,"(6519, 6519)",0,42503880,85.046874,174.063616,0.0005418750399257988(0.0)
149,2; 1; 2,"(6519, 6519)",0,42500620,85.020794,132.120576,0.00028105523088015614(0.0)
150,2; 1; 4,"(6519, 6519)",0,42498990,85.007754,111.149056,0.00014859371003694832(0.0)
151,2; 1; 8,"(6519, 6519)",0,42498175,85.001234,100.663296,9.353690082207322e-05(0.0)
152,2; 0; 1,"(6666, 6666)",0,44442222,88.92444,182.452224,0.0005085505696479231(0.0)
153,2; 0; 2,"(6666, 6666)",0,44438889,88.897776,138.412032,0.0002581967797596008(0.0)
154,2; 0; 4,"(6666, 6666)",0,44437222,88.88444,115.34336,0.0001315528096165508(0.0)
155,2; 0; 8,"(6666, 6666)",0,44436389,88.877776,104.8576,5.539595033042133e-05(0.0)
156,2; 1; 1,"(6666, 6666)",0,44442222,88.92444,182.452224,0.0005672041594516486(0.0)
157,2; 1; 2,"(6666, 6666)",0,44438889,88.897776,138.412032,0.0002968668204266578(0.0)
158,2; 1; 4,"(6666, 6666)",0,44437222,88.88444,115.34336,0.00015919869067147375(0.0)
159,2; 1; 8,"(6666, 6666)",0,44436389,88.877776,104.8576,0.0001012042397633195(0.0)
160,2; 0; 1,"(6810, 6810)",0,46382910,92.80668,190.840832,0.0005299692205153406(0.0)
161,2; 0; 2,"(6810, 6810)",0,46379505,92.77944,144.703488,0.00026766090071760117(0.0)
162,2; 0; 4,"(6810, 6810)",0,46377802,92.765816,121.634816,0.00013674058020114897(0.0)
163,2; 0; 8,"(6810, 6810)",0,46376951,92.759008,109.051904,5.863115075044334e-05(0.0)
164,2; 1; 1,"(6810, 6810)",0,46382910,92.80668,190.840832,0.0005946275196038187(0.0)
165,2; 1; 2,"(6810, 6810)",0,46379505,92.77944,144.703488,0.0003080314490944147(0.0)
166,2; 1; 4,"(6810, 6810)",0,46377802,92.765816,121.634816,0.00017045369022525848(0.0)
167,2; 1; 8,"(6810, 6810)",0,46376951,92.759008,109.051904,0.00010687101981602609(0.0)
