,Input dims,Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
82,2; 0,"(4176, 4176)",0,34877952,174.38976,211.812352,0.0006654984899796546(0.0)
83,2; 1,"(4176, 4176)",0,34877952,174.38976,211.812352,0.0001783944305498153(0.0)
84,2; 0,"(4222, 4222)",0,35650568,178.25284,213.909504,0.0006939063302706927(0.0)
85,2; 1,"(4222, 4222)",0,35650568,178.25284,213.909504,0.00018179908976890147(0.0)
86,2; 0,"(4268, 4268)",0,36431648,182.15824,222.298112,0.0007222306192852557(0.0)
87,2; 1,"(4268, 4268)",0,36431648,182.15824,222.298112,0.0001854306599125266(0.0)
88,2; 0,"(4314, 4314)",0,37221192,186.10596,224.395264,0.000757698849774897(0.0)
89,2; 1,"(4314, 4314)",0,37221192,186.10596,224.395264,0.00018946732045151292(0.0)
90,2; 0,"(4358, 4358)",0,37984328,189.92164,232.783872,0.0007825877203140408(0.0)
91,2; 1,"(4358, 4358)",0,37984328,189.92164,232.783872,0.0001932655193377286(0.0)
92,2; 0,"(4403, 4403)",0,38772818,193.86409,234.881024,0.0008134248806163668(0.0)
93,2; 1,"(4403, 4403)",0,38772818,193.86409,234.881024,0.00019759692950174212(0.0)
94,2; 0,"(4447, 4447)",0,39551618,197.75809,239.075328,0.0008459282899275422(0.0)
95,2; 1,"(4447, 4447)",0,39551618,197.75809,239.075328,0.0002013052604161203(0.0)
96,2; 0,"(4490, 4490)",0,40320200,201.601,245.366784,0.0008791645802557469(0.0)
97,2; 1,"(4490, 4490)",0,40320200,201.601,245.366784,0.00020544450031593443(0.0)
98,2; 0,"(4533, 4533)",0,41096178,205.48089,249.561088,0.0009053712501190603(0.0)
99,2; 1,"(4533, 4533)",0,41096178,205.48089,249.561088,0.00020909673068672418(0.0)
100,2; 0,"(4576, 4576)",0,41879552,209.39776,251.65824,0.0009375442296732217(0.0)
101,2; 1,"(4576, 4576)",0,41879552,209.39776,251.65824,0.0002128682704642415(0.0)
102,2; 0,"(4618, 4618)",0,42651848,213.25924,260.046848,0.0009699815197382122(0.0)
103,2; 1,"(4618, 4618)",0,42651848,213.25924,260.046848,0.000216881480300799(0.0)
104,2; 0,"(4660, 4660)",0,43431200,217.156,262.144,0.0009999798703938722(0.0)
105,2; 1,"(4660, 4660)",0,43431200,217.156,262.144,0.0002212440501898527(0.0)
106,2; 0,"(4702, 4702)",0,44217608,221.08804,270.532608,0.0010310654004570096(0.0)
107,2; 1,"(4702, 4702)",0,44217608,221.08804,270.532608,0.0002248671103734523(0.0)
108,2; 0,"(4743, 4743)",0,44992098,224.96049,272.62976,0.0010602889792062343(0.0)
109,2; 1,"(4743, 4743)",0,44992098,224.96049,272.62976,0.00022855069022625685(0.0)
110,2; 0,"(4784, 4784)",0,45773312,228.86656,276.824064,0.0010901649191509932(0.0)
111,2; 1,"(4784, 4784)",0,45773312,228.86656,276.824064,0.00023284584050998092(0.0)
112,2; 0,"(4824, 4824)",0,46541952,232.70976,283.11552,0.0011279371101409197(0.0)
113,2; 1,"(4824, 4824)",0,46541952,232.70976,283.11552,0.0002364274300634861(0.0)
114,2; 0,"(4864, 4864)",0,47316992,236.58496,287.309824,0.0011586323904339223(0.0)
115,2; 1,"(4864, 4864)",0,47316992,236.58496,287.309824,0.0002406710700597614(0.0)
116,2; 0,"(4904, 4904)",0,48098432,240.49216,289.406976,0.0011896831402555107(0.0)
117,2; 1,"(4904, 4904)",0,48098432,240.49216,289.406976,0.0002444625599309802(0.0)
118,2; 0,"(4944, 4944)",0,48886272,244.43136,297.795584,0.0012195717007853091(0.0)
119,2; 1,"(4944, 4944)",0,48886272,244.43136,297.795584,0.0002482272998895496(0.0)
120,2; 0,"(4983, 4983)",0,49660578,248.30289,299.892736,0.0012499918509274721(0.0)
121,2; 1,"(4983, 4983)",0,49660578,248.30289,299.892736,0.0002523638296406716(0.0)
122,2; 0,"(5022, 5022)",0,50440968,252.20484,308.281344,0.0012820873793680221(0.0)
123,2; 1,"(5022, 5022)",0,50440968,252.20484,308.281344,0.0002561280701775104(0.0)
124,2; 0,"(5060, 5060)",0,51207200,256.036,310.378496,0.001324873190606013(0.0)
125,2; 1,"(5060, 5060)",0,51207200,256.036,310.378496,0.0002598212694283575(0.0)
126,2; 0,"(5099, 5099)",0,51999602,259.99801,314.5728,0.00134232176002115(0.0)
127,2; 1,"(5099, 5099)",0,51999602,259.99801,314.5728,0.0002642818202730268(0.0)
